"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"1076427042713993216","","","2018-12-22 10:39:40 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The Mike Byrnes Daily! https://t.co/19J7wfiXQ4 Thanks to @griffbos @pahlm #telehealth #telecommunications","","","","https://paper.li/byrnesz?edition_id=e14047d0-05d5-11e9-97a4-0cc47a0d15fd"
"1076260492124082176","","","2018-12-21 23:37:51 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The nh-politics Daily! https://t.co/AAiwKaQeIX Thanks to @Lapidostrous @nhdogmom #nhpolitics #fitn","","","","https://paper.li/byrnesz/nh-politics?edition_id=6c680990-0579-11e9-944d-0cc47a0d1605"
"1076064653275467776","","","2018-12-21 10:39:40 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The Mike Byrnes Daily! https://t.co/YRxmH3XkFO Thanks to @nanacantu @Politics1com @xplornetretweet #nh #netneutrality","","","","https://paper.li/byrnesz?edition_id=b6fb74f0-050c-11e9-97a4-0cc47a0d15fd"
"1075898182058549248","","","2018-12-20 23:38:10 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The nh-politics Daily! https://t.co/hSVZ0yaTh0 Thanks to @Maxinerunner @rwhitmmx @SenatorHassan #nhpolitics #un","","","","https://paper.li/byrnesz/nh-politics?edition_id=4e25b500-04b0-11e9-944d-0cc47a0d1605"
"1075702372364640256","","","2018-12-20 10:40:05 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The Mike Byrnes Daily! https://t.co/7OdCJn2bbx Thanks to @exaegis_france @nhpolitics_ @csbritain #telehealth #nhpolitics","","","","https://paper.li/byrnesz?edition_id=9ace1db0-0443-11e9-97a4-0cc47a0d15fd"
"1075535711472939008","","","2018-12-19 23:37:50 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The nh-politics Daily! https://t.co/jiIkZQ2j3Z Thanks to @NHHouseGOP @NHBroadcasters @nhdogmom #nhpolitics #theresistance","","","","https://paper.li/byrnesz/nh-politics?edition_id=17a85fb0-03e7-11e9-944d-0cc47a0d1605"
"1075340067038732288","","","2018-12-19 10:40:25 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The Mike Byrnes Daily! https://t.co/S6TvjJ3bMX Thanks to @LeoBeletsky @LilacGranite @AJandTara #telehealth #nhpolitics","","","","https://paper.li/byrnesz?edition_id=7c072fd0-037a-11e9-97a4-0cc47a0d15fd"
"1075173376275243008","","","2018-12-18 23:38:03 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The nh-politics Daily! https://t.co/EDyICNoTNU Thanks to @rwhitmmx @Maxinerunner #nhpolitics #theresistance","","","","https://paper.li/byrnesz/nh-politics?edition_id=f4cfe130-031d-11e9-944d-0cc47a0d1605"
"1074977541188960256","","","2018-12-18 10:39:52 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The Mike Byrnes Daily! https://t.co/uXhjyX1Dla Thanks to @SusanSchibanoff @StefanKertesz @NewHampJournal #telehealth #netneutrality","","","","https://paper.li/byrnesz?edition_id=3e495110-02b1-11e9-97a4-0cc47a0d15fd"
"1074810913566412802","","","2018-12-17 23:37:45 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The nh-politics Daily! https://t.co/cQqUXDvhVN Thanks to @DrewHampshire @GraniteGrok @GovWin #theresistance #breakingpoll","","","","https://paper.li/byrnesz/nh-politics?edition_id=bf6eaa40-0254-11e9-944d-0cc47a0d1605"
"1074615164358537216","","","2018-12-17 10:39:55 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The Mike Byrnes Daily! https://t.co/FogrQd4WRy Thanks to @MarketingGurus2 @ijasonwu @VibeClarkRoger #business #healthcare","","","","https://paper.li/byrnesz?edition_id=15052550-01e8-11e9-97a4-0cc47a0d15fd"
"1074448521154191360","","","2018-12-16 23:37:44 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The nh-politics Daily! https://t.co/5FIUMbqKdf Thanks to @ConMonitorNews @Dark_Red_Hair @LindaSuhler #nhpolitics #theresistance","","","","https://paper.li/byrnesz/nh-politics?edition_id=94bbd350-018b-11e9-944d-0cc47a0d1605"
"1074252716417921025","","","2018-12-16 10:39:40 +0000","<a href=""https://paper.li"" rel=""nofollow"">Paper.li</a>","The latest The Mike Byrnes Daily! https://t.co/g48eC9U0Fz Thanks to @raultiru @always_wireless @NHKathySullivan #telehealth #netneutrality","","","","https://paper.li/byrnesz?edition_id=e31a2960-011e-11e9-97a4-0cc47a0d15fd"
"1074193797884592128","","","2018-12-16 06:45:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","When teens sleep in, grades go up https://t.co/khP8PunpGL via @FuturityNews","","","","https://www.futurity.org/high-school-teen-sleep-academics-1932142-2/"
